full_jaspar_motif,jaspar_motif,jaspar_name_1,jaspar_name_2,TFClass_name_1,TFClass_name_2,RNA_name_1,RNA_name_2,TFClass_subfamily_1,TFClass_family_1,TFClass_class_1,TFClass_superclass_1,TFClass_num_1,TFClass_subfamily_2,TFClass_family_2,TFClass_class_2,TFClass_superclass_2,TFClass_num_2,lowest_level_fam_1,lowest_level_fam_2
MA0030.1_FOXF2,FOXF2,FOXF2,NA,FOXF2,NA,FOXF2,NA,FOXF,FOX,Fork head / winged helix factors,Helix-turn-helix domains,3.3.1.6.2,NA,NA,NA,NA,NA,FOXF,NA
MA0031.1_FOXD1,FOXD1,FOXD1,NA,FOXD1,NA,FOXD1,NA,FOXD,FOX,Fork head / winged helix factors,Helix-turn-helix domains,3.3.1.4.1,NA,NA,NA,NA,NA,FOXD,NA
MA0051.1_IRF2,IRF2,IRF2,NA,IRF2,NA,IRF2,NA,NA,IRF,Tryptophan cluster factors,Helix-turn-helix domains,3.5.3.0.2,NA,NA,NA,NA,NA,IRF,NA
MA0057.1_MZF1(var.2),MZF1(var.2),MZF1,NA,MZF1,NA,MZF1,NA,unclassified,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.0.152,NA,NA,NA,NA,NA,More than 3 adjacent zinc fingers,NA
MA0059.1_MAX::MYC,MAX::MYC,MAX,MYC,MAX,c-MYC,MAX,MYC,MYC,bHLH-ZIP,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.6.5.5,MYC,bHLH-ZIP,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.6.5.1,MYC,MYC
MA0066.1_PPARG,PPARG,PPARG,NA,PPARGAMMA (NR1C3),NA,PPARG,NA,PPAR(NR1C),Thyroid hormone receptor-related factors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.2.5.3,NA,NA,NA,NA,NA,PPAR(NR1C),NA
MA0069.1_PAX6,PAX6,PAX6,NA,PAX6,NA,PAX6,NA,PAX4-like,PD+HD,Paired box factors,Helix-turn-helix domains,3.2.1.2.2,NA,NA,NA,NA,NA,PAX4-like,NA
MA0070.1_PBX1,PBX1,PBX1,NA,PKNOX1,NA,PBX1,NA,PBX,TALE-type HD,Homeo domain factors,Helix-turn-helix domains,3.1.4.4.1,NA,NA,NA,NA,NA,PBX,NA
MA0071.1_RORA,RORA,RORA,NA,"RORALPHA (RORABa, NR1F1)",NA,RORA,NA,ROR(NR1F),Thyroid hormone receptor-related factors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.2.6.1,NA,NA,NA,NA,NA,ROR(NR1F),NA
MA0072.1_RORA(var.2),RORA(var.2),RORA,NA,"RORALPHA (RORABa, NR1F1)",NA,RORA,NA,ROR(NR1F),Thyroid hormone receptor-related factors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.2.6.1,NA,NA,NA,NA,NA,ROR(NR1F),NA
MA0073.1_RREB1,RREB1,RREB1,NA,RREB1,NA,RREB1,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.15,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
MA0074.1_RXRA::VDR,RXRA::VDR,RXRA,VDR,RXRALPHA (NR2B1),VDR(NR1I1),RXRA,VDR,RXR(NR2B),RXR-related receptors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.3.1.1,VDR(NR1I),Thyroid hormone receptor-related factors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.2.4.1,RXR(NR2B),VDR(NR1I)
MA0077.1_SOX9,SOX9,SOX9,NA,SOX9,NA,SOX9,NA,Group E,SOX-related,High-mobility group (HMG) domain factors,Other all-alpha-helical DNA-binding domains,4.1.1.5.2,NA,NA,NA,NA,NA,Group E,NA
MA0084.1_SRY,SRY,SRY,NA,SRY,NA,SRY,NA,Group A,SOX-related,High-mobility group (HMG) domain factors,Other all-alpha-helical DNA-binding domains,4.1.1.1.1,NA,NA,NA,NA,NA,Group A,NA
MA0091.1_TAL1::TCF3,TAL1::TCF3,TAL1,TCF3,TAL1,TCF3 (E2A),TAL1,TCF3,TAL-HEN,Tal-related,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.3.1.1,E2A-like,E2A,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.1.0.1,TAL-HEN,E2A-like
MA0101.1_REL,REL,REL,NA,c-Rel,NA,REL,NA,NFkappaB p65-like,NFkappaB-related,Rel homology region (RHR) factors,Immunoglobulin fold,6.1.1.2.3,NA,NA,NA,NA,NA,NFkappaB p65-like,NA
MA0107.1_RELA,RELA,RELA,NA,RelA,NA,RELA,NA,NFkappaB p65-like,NFkappaB-related,Rel homology region (RHR) factors,Immunoglobulin fold,6.1.1.2.1,NA,NA,NA,NA,NA,NFkappaB p65-like,NA
MA0115.1_NR1H2::RXRA,NR1H2::RXRA,NR1H2,RXRA,LXRBETA (NR1H2),RXRALPHA (NR2B1),NR1H2,RXRA,LXR(NR1H),Thyroid hormone receptor-related factors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.2.7.2,RXR(NR2B),RXR-related receptors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.3.1.1,LXR(NR1H),RXR(NR2B)
MA0119.1_NFIC::TLX1,NFIC::TLX1,NFIC,TLX1,NF-1C,TLX1,NFIC,TLX1,NA,NF-1,SMAD/NF-1 DNA-binding domain factors,beta-Hairpin exposed by an alpha/beta-scaffold,7.1.2.0.3,TLX,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.21.1,NF-1,TLX
MA0130.1_ZNF354C,ZNF354C,ZNF354C,NA,ZNF354C,NA,ZNF354C,NA,unclassified,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.0.114,NA,NA,NA,NA,NA,More than 3 adjacent zinc fingers,NA
MA0139.1_CTCF,CTCF,CTCF,NA,CTCF,NA,CTCF,NA,CTCF-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.50.1,NA,NA,NA,NA,NA,CTCF-like,NA
MA0149.1_EWSR1-FLI1,EWSR1-FLI1,EWSR1-FLI1,NA,Fli-1,NA,FLI,NA,ETS-like,Ets-related,Tryptophan cluster factors,Helix-turn-helix domains,3.5.2.1.6,NA,NA,NA,NA,NA,ETS-like,NA
