full_jaspar_motif,jaspar_motif,lowest_level_family,gene
MA0030.1_FOXF2,FOXF2,FOXF,FOXF2
MA0030.1_FOXF2,FOXF2,FOXF,FOXF1
MA0031.1_FOXD1,FOXD1,FOXD,FOXD1
MA0031.1_FOXD1,FOXD1,FOXD,FOXD2
MA0031.1_FOXD1,FOXD1,FOXD,FOXD3
MA0031.1_FOXD1,FOXD1,FOXD,FOXD4L1
MA0031.1_FOXD1,FOXD1,FOXD,FOXD4L3
MA0031.1_FOXD1,FOXD1,FOXD,FOXD4L4
MA0031.1_FOXD1,FOXD1,FOXD,FOXD4L5
MA0031.1_FOXD1,FOXD1,FOXD,FOXD4L6
MA0031.1_FOXD1,FOXD1,FOXD,FOXD4
MA0051.1_IRF2,IRF2,IRF,IRF2
MA0051.1_IRF2,IRF2,IRF,IRF1
MA0051.1_IRF2,IRF2,IRF,IRF8
MA0051.1_IRF2,IRF2,IRF,IRF9
MA0051.1_IRF2,IRF2,IRF,IRF7
MA0051.1_IRF2,IRF2,IRF,IRF3
MA0051.1_IRF2,IRF2,IRF,IRF4
MA0051.1_IRF2,IRF2,IRF,IRF5
MA0051.1_IRF2,IRF2,IRF,IRF6
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,MZF1
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF354C
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF135
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF274
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF317
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF528
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF682
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF684
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,OSR2
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZBTB14
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF16
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF449
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF263
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZIM3
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF454
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF610
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF707
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF189
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF331
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF549
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF768
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF320
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF416
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF530
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF667
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF781
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF114
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF589
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF22
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF713
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZSCAN16
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF18
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,WT1
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,PRDM6
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF444
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF641
MA0057.1_MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc fingers,ZNF746
